"username","created_at","comment_text"
"remalthoughts","2018-09-19 02:28:09","This is beautiful 🌼Check out @remalthoughts 🌟 for illustration work on ""Problems women face in South Asia."""
"abbasmoosvi","2018-09-19 08:03:46","@amalwali"
"amalwali","2018-09-19 09:18:35","@abbasmoosvi love you jaani, thank you ❤❤❤"
"theartidote","2018-09-19 10:07:59","Submitted recommendation: “Fareed Minhas, psychiatrist. 
I’ve tried almost every other doctor here in Islamabad and I did not like any. They all had the same old lines to say to me which were the least bit effective. However Dr. Fareed was my favorite. He completely understood all I had to say and did not make me feel like I was overreacting. He’s super busy however so time is an issue. 
0515793301 is the number to call to book an appointment.”"
"_dr_zero_","2018-09-19 11:41:17","@tanisha_vatsa_  suggest a good therapist"
"i_smallville","2018-09-19 12:02:06","why do you ask for a therapist everytime you switch cities?"
"thewildmorganism","2018-09-19 12:09:37","@i_smallville The caption explains why it’s being asked"
"aishahiqbal","2018-09-19 14:58:37","I just started following you because of this wonderful service you are providing to people. I don’t have any recommendations but just wanted to say thank you for doing this good work!"
"minzz.13","2018-09-19 15:09:29","@taha14farasat can you share your experience so that the page can recommend?"
"minzz.13","2018-09-19 15:09:48","@mehrubasyed yes Zara Maqbool also works at therapy works."
"ahmad.niaaaz","2018-09-19 17:40:52","@fahadkhankhattak"
"mehrubasyed","2018-09-19 17:43:53","@theartidote I second Dr. Fareed. First hand experience. He’s great at what he does."
"kazimhyder","2018-09-19 19:34:58","@mashaallriaz"
"betittaaaa","2018-09-19 20:24:26","@pizzaarizza ????????"
"theartidote","2018-09-19 21:00:00","@aishahiqbal much love 🌸🌸🌸"
"pizzaarizza","2018-09-20 02:12:44","@betittaaaa Lol"
"mahnoornh","2018-09-20 10:10:28","@zizou_ten"
"zizou_ten","2018-09-20 11:28:57","Dr. Yousuf Raza is your go-to man if you  need help. I'm sure there are other very professional psychiatrists too, but it's hard to believe there can be anyone better than him. He saved my life, there is no other way in which to put this. The way he so open mindedly communicates and how he listens is unparalleled. I knew he was the one to go to for help because I have been attending his seminars and talks which are conducted all over the twin cities on topics that require much needed attention. Despite that, it's hard to get yourself to open up, I get that. So before you book an appointment, you might just want to attend a seminar to see the way he communicates, that will be of great help. Just months ago I wasn't able to eat for 20 hours at a stretch yet kept vomiting during panic attacks. I felt the worst kind of purposeless-ness deeply rooted inside me and my mind was clogged. I have come a long, long way from there. I found my purpose, and I'm more productive than ever. I wish each and every one of you peace of mind, heart and soul. Whether you see Dr. Yousuf or not, I hope you get the right help, whatever works for you. It's the hardest battle to fight, but it's temporary. Once fought rightly, you'll feel invincible having made it to the other side. All said, I'm still recovering, but definitely heading in the right direction. God be with us all. 
Contact Dr. Yousuf on: 03313456723
For details on his upcoming seminars 1) Suffering with a smile and 2) Love unplugged visit the facebook page: http://www.thealchemists.pk/

Dr. Yousuf is available at Medicsi in Civic Centre, Phase 4, Bahria Town Islamabad for around 3 or 4 days a week and see's his clients at home as well in DHA2."
"zizou_ten","2018-09-20 11:29:18","@mahnoornh Thank you so much for tagging me here."
"zizou_ten","2018-09-20 11:29:30","@mahnoornh Thank you so much for tagging me here."
"suzsuzyzane","2018-09-20 13:51:32","@maureenkris omg yes 😭😭"
"mahnoornh","2018-09-20 18:58:42","@zizou_ten 🤗"
"theartidote","2018-09-23 00:12:05","Submitted recommendation: “I wanted to share my experience regarding Dr Zara Maqbool. I reside in Lahore and i have Skype sessions with her every week with a few in person when in town. Shes very good at making her client comfortable in opening up their brain up, and making them feel safe about their fears. Shes wonderful at what she does. || Zara Maqbool, based in Islamabad, ‭+92 321 8477429‬ “"
"isransari","2018-10-28 22:01:38","@mehruniazi"
"amna.__.amjad","2018-11-18 21:34:07","@zizou_ten does he have a Facebook page ?"
"zizou_ten","2018-11-19 10:50:15","@amna.__.amjad Yes, here's the link: https://m.facebook.com/DrYousufRaza/"
